add, m24, t100, w2, 528, 324, 702, 2146, 29.25, 0.9167, 583, 13, a2, 100110
mergeSort, m113, t50, w2, 5081, 160, 34072, 39560, 301.5221, 0.9336, 1900, 129, a2, 111111
mergeSort, m452, t50, w4, 13846, 153, 45808, 62656, 101.3451, 0.9336, 1900, 129, a2, 011110
parg, m5018, t52, w8, 868954, 22, 1652, 871862, 0.3292, 1.0, 418, 2518, a2, 110010
factorial, m62, t100, w8, 1022, 272, 10536, 12228, 169.9355, 0.9677, 403, 18, a5, 000010
genPassword, m24, t100, w2, 748, 321, 2782, 3803, 113.551, 0.8367, 398, 63, a2, 110111
parg, m836, t52, w8, 146840, 100, 272, 147705, 0.3256, 1.0, 418, 2518, a3, 001111
huffmanCodingEff, m398, t50, w2, 30760, 150, 82034, 114310, 206.1156, 0.849, 1874, 239, a3, 110111
squareMatrix, m60, t50, w8, 1565, 133, 3438, 5166, 56.6758, 1.0, 903, 72, a2, 010111
longestIncrease, m228, t50, w2, 19992, 9485, 264840, 305270, 1161.5789, 0.9196, 1946, 70, a2, 001100
selectSort, m30, t50, w2, 2042, 163, 13387, 15683, 436.5543, 0.9101, 1900, 45, a3, 101100
huffmanCoding, m628, t50, w8, 37300, 143, 30602, 71254, 48.7293, 0.9279, 1874, 318, a2, 010110
huffmanCoding, m157, t50, w8, 9329, 128, 7667, 17435, 48.8376, 0.9279, 1874, 318, a2, 000111
dictionaryOrder, m23, t100, w8, 390, 254, 1667, 2247, 70.4507, 0.9265, 8248, 32, a2, 010111
squareMatrix, m91, t50, w4, 2444, 136, 11385, 13939, 125.1099, 1.0, 903, 72, a5, 010010
factorial, m15, t100, w8, 255, 41, 2540, 2844, 163.871, 0.9677, 403, 18, a3, 111010
maxArrSumNeg, m224, t50, w8, 5172, 19, 20242, 25794, 90.3661, 0.9358, 1910, 63, a3, 101111
parg, m5018, t52, w4, 861644, 175, 1630, 869000, 0.3248, 1.0, 418, 2518, a5, 000111
huffmanCodingEff, m99, t50, w2, 7755, 158, 20459, 28904, 205.6231, 0.849, 1874, 239, a2, 100110
longestIncrease, m57, t50, w2, 5005, 10191, 66408, 76718, 1165.0526, 0.9196, 1946, 70, a4, 110101
selectSort, m184, t50, w8, 4048, 149, 11752, 16506, 63.8696, 0.9101, 1900, 45, a2, 010111
minProd, m90, t50, w4, 2233, 51, 2688, 4985, 29.7017, 0.7845, 1946, 72, a5, 101010
transpose, m74, t50, w8, 1897, 148, 5061, 7396, 67.9396, 0.9054, 903, 40, a3, 001110
bubbleSort, m56, t50, w2, 3719, 161, 107954, 111998, 1910.6991, 0.9182, 1900, 41, a3, 101101
transpose, m49, t50, w2, 3977, 158, 20687, 25031, 416.5302, 0.8993, 903, 40, a4, 001100
quickSort, m42, t50, w4, 1504, 161, 10337, 12012, 244.1969, 0.9603, 1900, 56, a3, 001111
add, m6, t100, w2, 144, 334, 199, 537, 33.25, 0.9167, 583, 13, a2, 111011
add, m6, t100, w2, 134, 317, 214, 532, 35.75, 0.9167, 583, 13, a4, 000010
huffmanCoding, m157, t50, w8, 9731, 21, 7694, 18195, 49.0064, 0.9279, 1874, 318, a3, 100110
mergeSort, m113, t50, w4, 3403, 51, 11438, 14916, 101.2212, 0.9336, 1900, 129, a5, 100010
transpose, m74, t50, w4, 1879, 52, 10449, 12396, 140.2617, 0.8993, 903, 40, a2, 100011
anagram, m120, t100, w4, 2064, 104, 10004, 13120, 83.3667, 0.9286, 1370, 37, a2, 101110
massive, m98, t60, w8, 3406, 19165, 103296, 145200, 1054.0408, 1.0, 169, 13, a5, 110101
huffmanCodingEff, m398, t50, w8, 20422, 136, 12070, 34666, 30.3266, 0.849, 1874, 239, a3, 000110
factorial, m15, t100, w2, 794, 324, 9772, 10861, 630.4839, 0.9677, 403, 18, a3, 100100
parg, m836, t52, w4, 142715, 52, 2760, 150933, 3.3009, 1.0, 418, 2518, a4, 100110
primes, m136, t100, w4, 2286, 100, 5072, 8448, 37.2941, 0.8793, 398, 30, a3, 110110
genPassword, m16, t100, w4, 319, 97, 675, 1076, 41.3673, 0.8367, 398, 63, a2, 100111
factorial, m62, t100, w4, 1034, 292, 14096, 15846, 227.3548, 0.9677, 403, 18, a2, 000010
squareMatrix, m60, t50, w4, 1588, 146, 7790, 9780, 128.4121, 1.0, 903, 72, a3, 010110
squareMatrix, m60, t50, w8, 1617, 122, 3445, 5132, 56.7912, 1.0, 903, 72, a3, 000010
mergeSort, m75, t50, w2, 3437, 166, 22673, 26197, 300.969, 0.9336, 1900, 129, a4, 011010
huffmanCoding, m157, t50, w4, 9215, 147, 17255, 26641, 109.9076, 0.9013, 1874, 318, a3, 001010
mergeSort, m75, t50, w2, 3415, 159, 22870, 26580, 303.5841, 0.9336, 1900, 129, a3, 010111
dictionaryOrder, m35, t100, w2, 1836, 325, 16736, 18977, 471.4507, 0.9265, 8248, 32, a2, 011100
factorial, m62, t100, w8, 1010, 40, 10544, 11752, 170.0645, 0.9677, 403, 18, a5, 110011
factorial, m15, t100, w2, 384, 324, 9810, 10474, 632.9032, 0.9677, 403, 18, a4, 100111
bubbleSort, m37, t50, w2, 1229, 161, 73133, 74604, 1941.6018, 0.9182, 1900, 41, a4, 100111
insertSort, m54, t50, w4, 1173, 155, 6161, 7510, 114.0926, 0.9444, 1900, 40, a2, 001111
factorial, m62, t100, w2, 3102, 312, 39220, 43288, 632.5806, 0.9677, 403, 18, a2, 010101
genPassword, m98, t100, w4, 1972, 100, 4110, 6546, 41.9388, 0.8367, 398, 63, a2, 111111
selectSort, m46, t50, w4, 1002, 145, 7504, 8867, 163.1304, 0.9101, 1900, 45, a3, 010110
transpose, m49, t50, w2, 1936, 156, 20795, 22812, 418.698, 0.8993, 903, 40, a5, 101010
add, m6, t100, w2, 140, 317, 201, 523, 33.5, 0.9167, 583, 13, a4, 001010
anagram, m30, t100, w2, 806, 311, 4056, 5045, 135.2, 0.8667, 1370, 37, a4, 001010
longestIncrease, m38, t50, w2, 3295, 9561, 43996, 50624, 1157.7895, 0.9196, 1946, 70, a3, 111101
quickSort, m254, t50, w8, 9434, 20, 30012, 40138, 118.1575, 0.9603, 1900, 56, a2, 101111
transpose, m298, t50, w2, 11662, 163, 124500, 136652, 417.7852, 0.8993, 903, 40, a3, 100010
primes, m34, t100, w4, 559, 315, 1257, 2048, 36.9706, 0.8793, 398, 30, a2, 011111
factorial, m10, t100, w2, 255, 315, 6515, 6959, 630.4839, 0.9677, 403, 18, a4, 011110
transpose, m49, t50, w4, 1244, 52, 6977, 8268, 140.4899, 0.8993, 903, 40, a3, 101011
squareMatrix, m364, t50, w2, 14138, 158, 111150, 126746, 305.3571, 1.0, 903, 72, a5, 100111
genPassword, m24, t100, w8, 502, 38, 490, 1045, 20, 0.8367, 398, 63, a3, 111011
huffmanCodingEff, m99, t50, w8, 5285, 127, 3011, 8841, 30.2663, 0.849, 1874, 239, a2, 011110
transpose, m74, t50, w8, 1882, 144, 5061, 7258, 67.9329, 0.9054, 903, 40, a3, 001111
factorial, m15, t100, w2, 391, 323, 9766, 10457, 630.0968, 0.9677, 403, 18, a3, 010110
squareMatrix, m364, t50, w4, 9548, 146, 46870, 56880, 128.7637, 1.0, 903, 72, a4, 001010
add, m24, t100, w2, 564, 325, 824, 2144, 34.3333, 0.9167, 583, 13, a3, 111011
huffmanCodingEff, m66, t50, w2, 4983, 159, 13536, 18799, 204.0704, 0.849, 1874, 239, a2, 000111
genPassword, m24, t100, w2, 749, 321, 2733, 3676, 111.5714, 0.8367, 398, 63, a4, 110011
factorial, m62, t100, w2, 1576, 321, 39216, 41802, 632.5161, 0.9677, 403, 18, a2, 100111
huffmanCoding, m628, t50, w4, 35694, 156, 68672, 105034, 109.3503, 0.9013, 1874, 318, a5, 000011
huffmanCodingEff, m99, t50, w2, 7672, 160, 20370, 28447, 204.7236, 0.849, 1874, 239, a4, 110111
mergeSort, m75, t50, w4, 2266, 50, 7623, 9938, 101.1903, 0.9336, 1900, 129, a2, 100011
genPassword, m98, t100, w2, 2958, 314, 11352, 15066, 115.8367, 0.8367, 398, 63, a5, 010011
factorial, m10, t100, w2, 533, 321, 6488, 7218, 627.9355, 0.9677, 403, 18, a3, 101100
add, m4, t100, w2, 92, 332, 116, 373, 29, 0.9167, 583, 13, a3, 110111
squareMatrix, m364, t50, w4, 9740, 151, 46696, 57438, 128.2857, 1.0, 903, 72, a3, 001111
mergeSort, m452, t50, w8, 14084, 21, 21064, 37038, 46.6018, 0.9336, 1900, 129, a2, 101110
huffmanCoding, m628, t50, w8, 37736, 147, 30732, 70298, 48.9363, 0.9279, 1874, 318, a2, 010111
squareMatrix, m60, t50, w4, 1580, 47, 7701, 9395, 126.9505, 1.0, 903, 72, a2, 111111
genPassword, m24, t100, w2, 743, 326, 2829, 3769, 115.4898, 0.8367, 398, 63, a5, 111011
bubbleSort, m37, t50, w4, 818, 49, 25676, 26583, 681.6637, 0.9182, 1900, 41, a2, 111111
longestIncrease, m38, t50, w2, 3332, 9485, 44140, 50878, 1161.5789, 0.9196, 1946, 70, a2, 001100
longestIncrease, m57, t50, w2, 2440, 9621, 65921, 73524, 1156.5088, 0.9196, 1946, 70, a3, 110110
anagram, m20, t100, w2, 521, 316, 2758, 3405, 137.9333, 0.8667, 1370, 37, a4, 110010
selectSort, m46, t50, w2, 3050, 160, 20011, 23310, 435.0217, 0.9101, 1900, 45, a4, 010101
transpose, m49, t50, w2, 3962, 160, 20660, 24706, 415.9866, 0.8993, 903, 40, a3, 011001
bubbleSort, m56, t50, w4, 3646, 140, 38461, 42568, 680.7345, 0.9182, 1900, 41, a2, 000100
transpose, m74, t50, w2, 2898, 158, 31171, 34191, 418.4094, 0.8993, 903, 40, a2, 101010
insertSort, m36, t50, w4, 777, 52, 4142, 4959, 115.0556, 0.9444, 1900, 40, a5, 111011
squareMatrix, m91, t50, w2, 3613, 159, 28027, 32115, 307.9945, 1.0, 903, 72, a5, 001111
mergeSort, m452, t50, w4, 13796, 155, 45836, 60130, 101.4071, 0.9336, 1900, 129, a5, 010010
