add, m4, t100, w8, 51, 40, 20, 105, 5.0833, 0.9167, 583, 13, a4, 101010
transpose, m74, t50, w8, 1931, 19, 5060, 7344, 67.9195, 0.9054, 903, 40, a3, 110110
insertSort, m216, t50, w4, 4736, 156, 24640, 30064, 114.0741, 0.9444, 1900, 40, a3, 011111
huffmanCodingEff, m99, t50, w8, 5128, 139, 3009, 8536, 30.2412, 0.849, 1874, 239, a2, 011111
insertSort, m216, t50, w4, 4704, 149, 24728, 30122, 114.4815, 0.9444, 1900, 40, a2, 011111
genPassword, m16, t100, w4, 329, 281, 682, 1128, 41.7959, 0.8367, 398, 63, a3, 001010
parg, m5018, t52, w2, 858820, 174, 17648, 877990, 3.5169, 1.0, 418, 2518, a2, 101011
insertSort, m36, t50, w4, 786, 49, 4120, 4987, 114.4444, 0.9444, 1900, 40, a2, 111111
add, m24, t100, w2, 558, 308, 820, 2102, 34.1667, 0.9167, 583, 13, a5, 111011
huffmanCodingEff, m99, t50, w8, 5441, 20, 3006, 8767, 30.2161, 0.849, 1874, 239, a2, 111111
bubbleSort, m226, t50, w8, 14376, 24, 120080, 134778, 531.3274, 0.9182, 1900, 41, a4, 100101
mergeSort, m452, t50, w8, 13794, 125, 21230, 35504, 46.969, 0.9336, 1900, 129, a2, 010011
anagram, m20, t100, w4, 336, 98, 1667, 2088, 83.3667, 0.9286, 1370, 37, a3, 111111
factorial, m10, t100, w2, 549, 318, 6515, 7190, 630.5484, 0.9677, 403, 18, a3, 011000
anagram, m120, t100, w2, 3124, 316, 16376, 20248, 136.4667, 0.8667, 1370, 37, a2, 111010
transpose, m74, t50, w2, 5939, 158, 31020, 37081, 416.3826, 0.8993, 903, 40, a5, 101001
transpose, m298, t50, w2, 11738, 158, 124710, 136942, 418.4899, 0.8993, 903, 40, a3, 101010
selectSort, m46, t50, w2, 1529, 163, 20098, 21884, 436.913, 0.9101, 1900, 45, a2, 110111
factorial, m10, t100, w2, 257, 317, 6509, 6893, 629.9032, 0.9677, 403, 18, a4, 100011
factorial, m15, t100, w2, 389, 323, 9771, 10351, 630.3871, 0.9677, 403, 18, a3, 111010
anagram, m30, t100, w2, 788, 310, 4067, 5040, 135.5833, 0.8667, 1370, 37, a4, 000010
factorial, m15, t100, w2, 812, 318, 9745, 10745, 628.7097, 0.9677, 403, 18, a5, 011001
mergeSort, m113, t50, w2, 10042, 166, 34101, 44271, 301.7832, 0.9336, 1900, 129, a2, 110001
huffmanCodingEff, m398, t50, w4, 20592, 50, 27394, 49436, 68.8291, 0.849, 1874, 239, a3, 100111
add, m24, t100, w2, 546, 312, 818, 2102, 34.0833, 0.9167, 583, 13, a5, 110010
factorial, m62, t100, w2, 1558, 322, 39068, 41806, 630.129, 0.9677, 403, 18, a3, 101110
parg, m5018, t52, w2, 861626, 174, 17528, 913638, 3.493, 1.0, 418, 2518, a2, 101110
mergeSort, m75, t50, w2, 3434, 162, 22668, 26614, 300.9071, 0.9336, 1900, 129, a4, 101110
parg, m5018, t52, w8, 893974, 115, 1612, 897020, 0.3212, 1.0, 418, 2518, a5, 010011
maxArrSumNeg, m224, t50, w8, 5282, 131, 20242, 27030, 90.3661, 0.9358, 1910, 63, a2, 011110
factorial, m15, t100, w2, 809, 322, 9763, 10862, 629.9032, 0.9677, 403, 18, a3, 000100
parg, m1254, t52, w2, 219104, 179, 2561, 227052, 2.0415, 1.0, 418, 2518, a5, 011111
anagram, m30, t100, w2, 791, 303, 4081, 5053, 136.05, 0.8667, 1370, 37, a3, 010010
factorial, m15, t100, w2, 814, 319, 9773, 10778, 630.5484, 0.9677, 403, 18, a2, 110000
insertSort, m36, t50, w8, 789, 22, 2110, 2947, 58.6204, 0.9444, 1900, 40, a3, 101111
squareMatrix, m91, t50, w8, 2334, 22, 5209, 7598, 57.2418, 1.0, 903, 72, a3, 100010
longestIncrease, m38, t50, w4, 3273, 3432, 16540, 20989, 435.2807, 0.9035, 1946, 70, a2, 101001
parg, m5018, t52, w8, 872344, 20, 12194, 885850, 2.4301, 1.0, 418, 2518, a4, 100011
factorial, m15, t100, w2, 387, 312, 9962, 10535, 642.7419, 0.9677, 403, 18, a4, 110011
minProd, m90, t50, w2, 3372, 165, 7932, 11655, 87.6464, 0.8659, 1946, 72, a2, 100111
selectSort, m46, t50, w2, 1539, 162, 20029, 21812, 435.413, 0.9101, 1900, 45, a2, 011111
squareMatrix, m364, t50, w8, 9466, 142, 20648, 30958, 56.7253, 1.0, 903, 72, a3, 010111
transpose, m74, t50, w8, 1909, 21, 5063, 7355, 67.9597, 0.9054, 903, 40, a3, 101110
mergeSort, m452, t50, w2, 20792, 160, 137418, 158724, 304.0221, 0.9336, 1900, 129, a3, 001011
bubbleSort, m37, t50, w2, 2511, 165, 75247, 78072, 1997.7257, 0.9182, 1900, 41, a3, 101100
factorial, m10, t100, w2, 535, 324, 6518, 7254, 630.8387, 0.9677, 403, 18, a2, 100100
parg, m836, t52, w8, 144777, 23, 277, 145266, 0.332, 1.0, 418, 2518, a3, 100010
anagram, m20, t100, w4, 337, 101, 1667, 2088, 83.3667, 0.9286, 1370, 37, a2, 110111
add, m6, t100, w2, 139, 322, 207, 539, 34.5833, 0.9167, 583, 13, a5, 011011
factorial, m10, t100, w4, 179, 301, 2342, 2708, 226.6774, 0.9677, 403, 18, a2, 010110
transpose, m298, t50, w2, 11596, 160, 124030, 137714, 416.2081, 0.8993, 903, 40, a4, 101110
transpose, m74, t50, w4, 1916, 50, 10437, 12422, 140.094, 0.8993, 903, 40, a3, 100011
longestIncrease, m228, t50, w2, 9914, 9407, 264742, 294930, 1161.1491, 0.9196, 1946, 70, a3, 000110
transpose, m74, t50, w2, 5894, 158, 31003, 37022, 416.1544, 0.8993, 903, 40, a3, 110000
