dictionaryOrder, m142, t100, w4, 2392, 300, 23438, 27182, 165.0563, 0.9265, 8248, 32, a2, 010111
factorial, m15, t100, w2, 815, 313, 9837, 10935, 634.6774, 0.9677, 403, 18, a3, 001100
selectSort, m46, t50, w4, 1034, 149, 7504, 8703, 163.1413, 0.9101, 1900, 45, a3, 011111
parg, m1254, t52, w2, 214705, 174, 4412, 219497, 3.5169, 1.0, 418, 2518, a2, 101011
mergeSort, m452, t50, w4, 13782, 142, 46098, 60366, 101.9867, 0.9336, 1900, 129, a4, 011010
factorial, m62, t100, w2, 1552, 326, 39234, 41854, 632.8065, 0.9677, 403, 18, a4, 111111
squareMatrix, m91, t50, w4, 2368, 49, 11554, 14502, 126.967, 1.0, 903, 72, a2, 101110
genPassword, m16, t100, w4, 334, 95, 676, 1062, 41.4082, 0.8367, 398, 63, a5, 111010
dictionaryOrder, m23, t100, w8, 374, 269, 1667, 2259, 70.4507, 0.9265, 8248, 32, a3, 000110
parg, m5018, t52, w4, 854026, 55, 16726, 872084, 3.3332, 1.0, 418, 2518, a4, 110011
longestIncrease, m228, t50, w2, 19638, 9615, 267084, 307416, 1171.4211, 0.9196, 1946, 70, a2, 111100
factorial, m62, t100, w2, 3188, 317, 39118, 43058, 630.9355, 0.9677, 403, 18, a5, 100000
dictionaryOrder, m23, t100, w2, 1181, 318, 11170, 12561, 471.9718, 0.9265, 8248, 32, a3, 001101
anagram, m20, t100, w2, 537, 326, 2712, 3377, 135.6, 0.8667, 1370, 37, a3, 110011
anagram, m20, t100, w2, 531, 317, 2718, 3376, 135.9333, 0.8667, 1370, 37, a5, 001011
primes, m136, t100, w4, 2302, 102, 5022, 7788, 36.9265, 0.8793, 398, 30, a2, 100111
transpose, m49, t50, w2, 1926, 158, 20838, 22845, 419.557, 0.8993, 903, 40, a5, 111010
parg, m5018, t52, w4, 851416, 177, 5134, 858130, 1.0231, 1.0, 418, 2518, a3, 001010
primes, m34, t100, w8, 545, 273, 436, 1171, 12.8235, 0.8793, 398, 30, a3, 011111
mergeSort, m75, t50, w2, 3442, 162, 22829, 26356, 303.0442, 0.9336, 1900, 129, a3, 011010
factorial, m62, t100, w8, 1020, 40, 10156, 11438, 163.8065, 0.9677, 403, 18, a2, 111111
huffmanCodingEff, m99, t50, w2, 7662, 159, 20377, 28467, 204.799, 0.849, 1874, 239, a2, 111111
factorial, m62, t100, w2, 1608, 319, 39122, 41870, 631, 0.9677, 403, 18, a2, 111110
parg, m836, t52, w4, 142144, 54, 879, 143244, 1.0514, 1.0, 418, 2518, a5, 101011
add, m24, t100, w2, 512, 323, 858, 2120, 35.75, 0.9167, 583, 13, a2, 010010
selectSort, m30, t50, w2, 2058, 163, 13359, 15575, 435.6196, 0.9101, 1900, 45, a4, 110101
squareMatrix, m91, t50, w4, 2355, 50, 11545, 13966, 126.8681, 1.0, 903, 72, a3, 111011
add, m6, t100, w2, 138, 315, 180, 549, 30.0833, 0.9167, 583, 13, a4, 101111
longestIncrease, m38, t50, w4, 1043, 3475, 17108, 19344, 450.2281, 0.9035, 1946, 70, a3, 111010
parg, m5018, t52, w2, 865920, 168, 17196, 916482, 3.4269, 1.0, 418, 2518, a2, 001110
anagram, m120, t100, w2, 3236, 322, 16230, 20238, 135.25, 0.8667, 1370, 37, a2, 011011
genPassword, m16, t100, w4, 329, 294, 623, 1071, 38.1429, 0.8367, 398, 63, a4, 001011
transpose, m298, t50, w8, 7516, 129, 20242, 29062, 67.9262, 0.9054, 903, 40, a2, 001111
mergeSort, m452, t50, w8, 13858, 22, 21038, 35382, 46.5442, 0.9336, 1900, 129, a2, 101111
squareMatrix, m91, t50, w4, 2347, 51, 11537, 14107, 126.7802, 1.0, 903, 72, a2, 110111
genPassword, m98, t100, w4, 2084, 281, 3968, 6892, 40.4898, 0.8367, 398, 63, a2, 000111
primes, m22, t100, w2, 592, 314, 2394, 3192, 105.6471, 0.8793, 398, 30, a2, 110111
longestIncrease, m38, t50, w4, 1038, 3439, 16889, 19104, 444.4649, 0.9035, 1946, 70, a2, 110011
genPassword, m16, t100, w2, 495, 317, 1849, 2471, 113.2245, 0.8367, 398, 63, a4, 111011
genPassword, m98, t100, w8, 1942, 40, 1870, 4142, 19.0816, 0.8367, 398, 63, a2, 100111
parg, m1254, t52, w8, 217480, 20, 688, 219063, 0.5484, 1.0, 418, 2518, a4, 111111
minProd, m90, t50, w4, 2222, 156, 2649, 4991, 29.2707, 0.7845, 1946, 72, a2, 011010
dictionaryOrder, m142, t100, w4, 2418, 93, 23312, 26720, 164.169, 0.9265, 8248, 32, a2, 110111
mergeSort, m452, t50, w2, 20484, 162, 138536, 160880, 306.4956, 0.9336, 1900, 129, a4, 010111
mergeSort, m452, t50, w2, 20456, 158, 136772, 157736, 302.5929, 0.9336, 1900, 129, a2, 000010
anagram, m30, t100, w2, 785, 314, 3988, 5144, 132.9333, 0.8667, 1370, 37, a4, 001110
genPassword, m16, t100, w2, 493, 312, 1848, 2469, 113.1633, 0.8367, 398, 63, a5, 011011
parg, m1254, t52, w4, 213385, 170, 1280, 215058, 1.0203, 1.0, 418, 2518, a2, 010010
genPassword, m16, t100, w2, 493, 320, 1854, 2477, 113.5102, 0.8367, 398, 63, a2, 110011
squareMatrix, m364, t50, w8, 9422, 25, 20658, 31692, 56.7527, 1.0, 903, 72, a3, 110110
bubbleSort, m56, t50, w4, 3688, 49, 38491, 42319, 681.2655, 0.9182, 1900, 41, a2, 111101
parg, m1254, t52, w2, 219731, 177, 4275, 224394, 3.4081, 1.0, 418, 2518, a4, 011011
selectSort, m30, t50, w8, 685, 146, 1963, 2841, 64.0217, 0.9101, 1900, 45, a3, 011110
minProd, m60, t50, w2, 2255, 165, 5276, 7945, 87.453, 0.8659, 1946, 72, a3, 111110
selectSort, m184, t50, w2, 6324, 165, 80410, 88204, 437.0109, 0.9101, 1900, 45, a3, 000110
parg, m1254, t52, w4, 212705, 52, 1326, 222088, 1.057, 1.0, 418, 2518, a5, 101110
dictionaryOrder, m23, t100, w2, 642, 313, 11208, 12115, 473.5915, 0.9265, 8248, 32, a2, 011110
huffmanCodingEff, m99, t50, w2, 7776, 172, 20486, 28678, 205.8945, 0.849, 1874, 239, a2, 001111
primes, m136, t100, w4, 2416, 298, 5036, 8312, 37.0294, 0.8793, 398, 30, a2, 000111
bubbleSort, m226, t50, w4, 14444, 51, 153976, 168944, 681.3097, 0.9182, 1900, 41, a3, 100101
transpose, m298, t50, w8, 7572, 23, 20252, 29390, 67.9597, 0.9054, 903, 40, a2, 110110
factorial, m15, t100, w4, 267, 102, 3518, 3864, 226.9677, 0.9677, 403, 18, a2, 100011
factorial, m10, t100, w2, 268, 319, 6520, 6978, 631, 0.9677, 403, 18, a2, 111110
parg, m836, t52, w8, 145036, 96, 272, 145542, 0.3252, 1.0, 418, 2518, a2, 001010
insertSort, m36, t50, w8, 796, 138, 2092, 2961, 58.1204, 0.9444, 1900, 40, a3, 011010
quickSort, m42, t50, w2, 2276, 159, 28954, 31438, 683.9606, 0.9603, 1900, 56, a2, 111111
add, m24, t100, w2, 560, 319, 712, 2164, 29.6667, 0.9167, 583, 13, a3, 011110
parg, m1254, t52, w4, 213506, 55, 4181, 218021, 3.3332, 1.0, 418, 2518, a4, 110011
transpose, m49, t50, w2, 1937, 161, 20672, 22974, 416.2282, 0.8993, 903, 40, a4, 111110
mergeSort, m75, t50, w4, 2353, 148, 7643, 10079, 101.4646, 0.9336, 1900, 129, a5, 011010
parg, m1254, t52, w8, 219261, 101, 407, 220469, 0.3248, 1.0, 418, 2518, a2, 000111
factorial, m62, t100, w2, 1572, 327, 39086, 41428, 630.4194, 0.9677, 403, 18, a3, 100010
anagram, m120, t100, w4, 2036, 291, 10006, 12898, 83.3833, 0.9286, 1370, 37, a2, 001111
parg, m5018, t52, w8, 871680, 129, 1646, 874854, 0.328, 1.0, 418, 2518, a3, 011011
longestIncrease, m38, t50, w2, 3301, 9763, 45297, 52089, 1192.0351, 0.9196, 1946, 70, a3, 110100
bubbleSort, m56, t50, w4, 1240, 50, 38635, 40283, 683.8053, 0.9182, 1900, 41, a3, 101110
genPassword, m16, t100, w2, 494, 317, 1837, 2558, 112.4898, 0.8367, 398, 63, a4, 010110
factorial, m10, t100, w2, 255, 315, 6515, 6959, 630.4839, 0.9677, 403, 18, a4, 011110
huffmanCoding, m157, t50, w8, 9389, 20, 7668, 17564, 48.8439, 0.9279, 1874, 318, a3, 101111
squareMatrix, m91, t50, w4, 2347, 153, 11564, 14541, 127.0824, 1.0, 903, 72, a2, 000110
parg, m836, t52, w4, 141974, 55, 872, 143068, 1.0426, 1.0, 418, 2518, a5, 101010
maxArrSumNeg, m224, t50, w4, 5260, 49, 45068, 50810, 201.1964, 0.9358, 1910, 63, a2, 101111
genPassword, m98, t100, w8, 1894, 37, 1866, 3992, 19.0408, 0.8367, 398, 63, a5, 100010
insertSort, m36, t50, w4, 796, 153, 4114, 5180, 114.287, 0.9444, 1900, 40, a3, 010110
factorial, m10, t100, w4, 175, 99, 2348, 2577, 227.2581, 0.9677, 403, 18, a3, 110010
mergeSort, m452, t50, w2, 21032, 163, 138024, 162210, 305.3628, 0.9336, 1900, 129, a4, 000110
factorial, m62, t100, w2, 1576, 313, 39148, 41856, 631.4194, 0.9677, 403, 18, a3, 000110
factorial, m62, t100, w4, 3198, 102, 14062, 17696, 226.8065, 0.9677, 403, 18, a3, 110101
transpose, m74, t50, w2, 5950, 160, 30990, 37064, 415.9732, 0.8993, 903, 40, a2, 100000
