bubbleSort, m113, t50, w8, 2487, 22, 59928, 62576, 530.3363, 0.9182, 1900, 41, a4, 110111
parg, m2509, t52, w4, 427069, 54, 2575, 430305, 1.0263, 1.0, 418, 2518, a2, 100011
mergeSort, m226, t50, w2, 20625, 164, 68300, 89827, 302.2124, 0.9336, 1900, 129, a3, 000101
squareMatrix, m182, t50, w8, 4937, 130, 10350, 15724, 56.8681, 1.0, 903, 72, a2, 001111
mergeSort, m226, t50, w2, 10109, 165, 67966, 78337, 300.7345, 0.9336, 1900, 129, a4, 110011
mergeSort, m226, t50, w2, 10321, 162, 69014, 79598, 305.3717, 0.9336, 1900, 129, a4, 001010
insertSort, m108, t50, w8, 2420, 149, 6332, 9401, 58.6296, 0.9444, 1900, 40, a2, 010110
maxArrSumNeg, m112, t50, w8, 2669, 22, 10917, 14119, 97.4732, 0.9358, 1910, 63, a2, 100110
mergeSort, m226, t50, w2, 10284, 154, 68898, 79432, 304.8584, 0.9336, 1900, 129, a4, 000011
selectSort, m92, t50, w4, 2044, 54, 15008, 17291, 163.1304, 0.9101, 1900, 45, a3, 111111
parg, m2509, t52, w8, 439771, 136, 817, 451156, 0.3256, 1.0, 418, 2518, a3, 000110
transpose, m149, t50, w2, 5807, 159, 62321, 68371, 418.2617, 0.8993, 903, 40, a2, 011011
mergeSort, m226, t50, w4, 6849, 49, 22806, 31004, 100.9115, 0.9336, 1900, 129, a3, 110110
squareMatrix, m182, t50, w4, 4593, 48, 23168, 27889, 127.2967, 1.0, 903, 72, a3, 100011
add, m12, t100, w2, 293, 317, 398, 1063, 33.1667, 0.9167, 583, 13, a3, 110010
factorial, m31, t100, w8, 504, 41, 5082, 5720, 163.9355, 0.9677, 403, 18, a3, 101111
huffmanCoding, m314, t50, w4, 17902, 47, 34291, 52416, 109.207, 0.9013, 1874, 318, a3, 101010
huffmanCodingEff, m199, t50, w2, 15450, 159, 40835, 57131, 205.201, 0.849, 1874, 239, a4, 100111
huffmanCodingEff, m199, t50, w8, 10877, 22, 6035, 17871, 30.3266, 0.849, 1874, 239, a3, 111110
mergeSort, m226, t50, w2, 10248, 161, 68523, 79025, 303.1991, 0.9336, 1900, 129, a4, 010010
longestIncrease, m114, t50, w4, 3116, 3439, 50669, 57314, 444.4649, 0.9035, 1946, 70, a2, 110011
dictionaryOrder, m71, t100, w2, 3652, 321, 34198, 38514, 481.662, 0.9265, 8248, 32, a3, 000101
minProd, m181, t50, w2, 6735, 160, 15788, 23721, 87.2265, 0.8659, 1946, 72, a3, 010110
dictionaryOrder, m71, t100, w4, 1155, 308, 11753, 13701, 165.5352, 0.9265, 8248, 32, a2, 000110
genPassword, m49, t100, w4, 968, 304, 2064, 3404, 42.1224, 0.8367, 398, 63, a3, 001011
squareMatrix, m182, t50, w4, 4694, 153, 23129, 29083, 127.0824, 1.0, 903, 72, a2, 000110
add, m12, t100, w2, 291, 321, 360, 1080, 30, 0.9167, 583, 13, a4, 111111
dictionaryOrder, m71, t100, w4, 1191, 98, 11670, 13307, 164.3662, 0.9265, 8248, 32, a3, 100111
massive, m49, t60, w4, 1860, 38272, 63677, 104133, 1299.5306, 1.0, 169, 13, a5, 111100
transpose, m149, t50, w8, 3794, 148, 10123, 14792, 67.9396, 0.9054, 903, 40, a3, 001110
anagram, m60, t100, w2, 1558, 320, 8176, 10114, 136.2667, 0.8667, 1370, 37, a5, 100010
mergeSort, m226, t50, w2, 20373, 154, 68661, 89284, 303.8097, 0.9336, 1900, 129, a3, 011000
maxArrSumNeg, m112, t50, w8, 2623, 20, 10695, 13475, 95.4911, 0.9358, 1910, 63, a3, 110111
add, m12, t100, w2, 272, 317, 420, 1063, 35, 0.9167, 583, 13, a2, 110011
dictionaryOrder, m71, t100, w4, 1178, 298, 11631, 13580, 163.8169, 0.9265, 8248, 32, a2, 011110
factorial, m31, t100, w4, 495, 291, 7032, 7952, 226.8387, 0.9677, 403, 18, a2, 000111
