longestIncrease, m228, t50, w4, 19596, 3461, 102972, 129682, 451.6316, 0.9035, 1946, 70, a3, 111001
transpose, m49, t50, w2, 3934, 160, 20650, 24665, 415.7718, 0.8993, 903, 40, a2, 001000
add, m6, t100, w2, 147, 314, 199, 529, 33.25, 0.9167, 583, 13, a2, 110010
add, m24, t100, w8, 340, 53, 108, 700, 4.5, 0.9167, 583, 13, a4, 101111
insertSort, m36, t50, w8, 796, 138, 2092, 2961, 58.1204, 0.9444, 1900, 40, a3, 011010
dictionaryOrder, m23, t100, w4, 397, 98, 3890, 4435, 164.3662, 0.9265, 8248, 32, a3, 100111
mergeSort, m113, t50, w4, 3459, 152, 11413, 14994, 101, 0.9336, 1900, 129, a3, 001010
add, m4, t100, w4, 56, 97, 45, 154, 11.4167, 0.9167, 583, 13, a4, 100011
genPassword, m24, t100, w8, 486, 40, 483, 1022, 19.7143, 0.8367, 398, 63, a2, 101010
factorial, m15, t100, w4, 269, 301, 3513, 4062, 226.6774, 0.9677, 403, 18, a2, 010110
mergeSort, m75, t50, w8, 2309, 132, 3539, 5927, 46.9867, 0.9336, 1900, 129, a3, 000010
parg, m836, t52, w2, 146045, 175, 2914, 149217, 3.4851, 1.0, 418, 2518, a2, 011010
parg, m836, t52, w2, 142664, 176, 2888, 145804, 3.454, 1.0, 418, 2518, a5, 110011
genPassword, m98, t100, w4, 1948, 98, 3636, 5916, 37.102, 0.8367, 398, 63, a4, 111011
transpose, m49, t50, w2, 3929, 155, 20676, 24826, 416.3087, 0.8993, 903, 40, a4, 011101
mergeSort, m75, t50, w2, 6680, 161, 23046, 29811, 305.9292, 0.9336, 1900, 129, a3, 100001
quickSort, m42, t50, w4, 1502, 48, 9295, 10928, 219.5827, 0.9603, 1900, 56, a2, 111111
mergeSort, m75, t50, w4, 2304, 51, 7599, 9953, 100.8805, 0.9336, 1900, 129, a2, 111010
mergeSort, m452, t50, w8, 14360, 100, 21228, 36316, 46.9646, 0.9336, 1900, 129, a3, 010111
dictionaryOrder, m142, t100, w8, 2286, 39, 10006, 13246, 70.4648, 0.9265, 8248, 32, a2, 100110
genPassword, m16, t100, w2, 505, 310, 1878, 2610, 114.9796, 0.8367, 398, 63, a4, 000110
huffmanCoding, m628, t50, w4, 35930, 151, 58830, 97154, 93.6783, 0.9013, 1874, 318, a5, 010111
squareMatrix, m91, t50, w4, 2335, 147, 11470, 14415, 126.044, 1.0, 903, 72, a5, 010110
factorial, m62, t100, w2, 1524, 318, 39478, 41758, 636.7419, 0.9677, 403, 18, a3, 001011
factorial, m10, t100, w8, 168, 38, 1696, 1949, 164.1613, 0.9677, 403, 18, a2, 101110
mergeSort, m113, t50, w2, 10266, 163, 34114, 45131, 301.8982, 0.9336, 1900, 129, a4, 111100
genPassword, m98, t100, w2, 2978, 315, 11116, 14852, 113.4286, 0.8367, 398, 63, a5, 000011
dictionaryOrder, m35, t100, w2, 984, 330, 17010, 18417, 479.1549, 0.9265, 8248, 32, a2, 000110
parg, m836, t52, w2, 147254, 170, 2895, 150403, 3.4615, 1.0, 418, 2518, a2, 000011
anagram, m20, t100, w2, 1082, 319, 2700, 3908, 135.0333, 0.8667, 1370, 37, a3, 101001
mergeSort, m452, t50, w8, 13984, 22, 21046, 35262, 46.5619, 0.9336, 1900, 129, a2, 101011
