insertSort, m36, t50, w8, 787, 23, 2087, 2905, 57.9907, 0.9444, 1900, 40, a3, 111011
selectSort, m184, t50, w8, 4012, 21, 11700, 16636, 63.587, 0.9101, 1900, 45, a2, 100110
mergeSort, m113, t50, w4, 3463, 145, 11436, 15170, 101.2035, 0.9336, 1900, 129, a2, 011111
parg, m5018, t52, w8, 868954, 22, 1652, 871862, 0.3292, 1.0, 418, 2518, a2, 110010
factorial, m10, t100, w8, 166, 286, 1693, 1976, 163.9032, 0.9677, 403, 18, a3, 001010
add, m6, t100, w2, 140, 329, 182, 556, 30.4167, 0.9167, 583, 13, a2, 011111
minProd, m90, t50, w2, 3279, 163, 7926, 11818, 87.5856, 0.8659, 1946, 72, a2, 001110
mergeSort, m113, t50, w2, 5078, 160, 33999, 39826, 300.8805, 0.9336, 1900, 129, a3, 010110
parg, m5018, t52, w4, 855454, 178, 5118, 862158, 1.0199, 1.0, 418, 2518, a3, 000011
mergeSort, m75, t50, w8, 2319, 22, 3533, 5893, 46.8982, 0.9336, 1900, 129, a2, 111010
longestIncrease, m228, t50, w4, 19876, 10419, 91852, 132770, 402.8596, 0.9035, 1946, 70, a4, 011001
dictionaryOrder, m142, t100, w2, 7266, 326, 67222, 75754, 473.3944, 0.9265, 8248, 32, a4, 100101
parg, m836, t52, w8, 154940, 97, 514, 159375, 0.6146, 1.0, 418, 2518, a4, 001110
bubbleSort, m226, t50, w2, 14644, 161, 426816, 442884, 1888.5664, 0.9182, 1900, 41, a3, 011101
huffmanCodingEff, m99, t50, w2, 7459, 166, 20279, 28154, 203.8141, 0.849, 1874, 239, a4, 000111
factorial, m15, t100, w2, 797, 319, 9760, 10746, 629.6774, 0.9677, 403, 18, a3, 110000
factorial, m15, t100, w2, 365, 322, 9785, 10436, 631.3226, 0.9677, 403, 18, a3, 011110
genPassword, m16, t100, w2, 487, 313, 1841, 2454, 112.7347, 0.8367, 398, 63, a3, 001010
factorial, m62, t100, w4, 1044, 303, 14076, 15948, 227.0323, 0.9677, 403, 18, a2, 001111
quickSort, m42, t50, w2, 4450, 164, 27322, 32114, 645.4094, 0.9603, 1900, 56, a3, 001100
bubbleSort, m56, t50, w4, 3665, 51, 38532, 42613, 681.9912, 0.9182, 1900, 41, a3, 111100
factorial, m15, t100, w8, 243, 272, 2539, 3015, 163.8387, 0.9677, 403, 18, a3, 010110
factorial, m15, t100, w8, 252, 41, 2541, 2860, 163.9355, 0.9677, 403, 18, a3, 101111
parg, m836, t52, w2, 143728, 172, 2868, 152149, 3.4297, 1.0, 418, 2518, a3, 001110
genPassword, m98, t100, w8, 1940, 287, 1878, 4528, 19.1633, 0.8367, 398, 63, a3, 011010
huffmanCoding, m628, t50, w2, 54536, 156, 146244, 203780, 232.8726, 0.9013, 1874, 318, a5, 011111
longestIncrease, m228, t50, w4, 6282, 3467, 96260, 109672, 422.193, 0.9035, 1946, 70, a4, 111010
mergeSort, m75, t50, w4, 2299, 47, 7615, 9962, 101.0929, 0.9336, 1900, 129, a4, 111011
mergeSort, m75, t50, w2, 3392, 157, 22735, 26211, 301.792, 0.9336, 1900, 129, a5, 000011
dictionaryOrder, m35, t100, w8, 583, 297, 2500, 3416, 70.4366, 0.9265, 8248, 32, a2, 011111
mergeSort, m113, t50, w2, 5092, 156, 34119, 39958, 301.9425, 0.9336, 1900, 129, a4, 010110
squareMatrix, m364, t50, w4, 9472, 49, 46216, 58010, 126.967, 1.0, 903, 72, a2, 101110
genPassword, m98, t100, w2, 2964, 319, 11096, 14826, 113.2245, 0.8367, 398, 63, a3, 110010
quickSort, m254, t50, w4, 9038, 51, 62002, 72814, 244.1024, 0.9603, 1900, 56, a2, 110110
mergeSort, m452, t50, w8, 14046, 23, 21150, 36044, 46.792, 0.9336, 1900, 129, a2, 100111
minProd, m60, t50, w8, 1469, 21, 1676, 3427, 27.779, 0.8659, 1946, 72, a3, 110110
massive, m24, t60, w4, 315, 38256, 30832, 50303, 1258.4694, 1.0, 169, 13, a5, 110010
genPassword, m24, t100, w2, 747, 325, 2753, 3786, 112.3878, 0.8367, 398, 63, a4, 010111
squareMatrix, m364, t50, w8, 9710, 134, 20900, 31078, 57.4176, 1.0, 903, 72, a3, 010011
quickSort, m42, t50, w4, 1503, 48, 9290, 11088, 219.4488, 0.9603, 1900, 56, a3, 110110
parg, m5018, t52, w8, 868234, 19, 107066, 976598, 21.3364, 1.0, 418, 2518, a5, 111010
factorial, m15, t100, w8, 749, 43, 2541, 3343, 163.9677, 0.9677, 403, 18, a2, 111000
selectSort, m30, t50, w4, 693, 149, 5002, 5816, 163.1304, 0.9101, 1900, 45, a2, 011111
mergeSort, m113, t50, w2, 10000, 162, 34076, 44204, 301.5575, 0.9336, 1900, 129, a5, 110000
mergeSort, m75, t50, w8, 2357, 122, 3529, 6008, 46.854, 0.9336, 1900, 129, a2, 011111
parg, m5018, t52, w2, 873842, 176, 17330, 911500, 3.4536, 1.0, 418, 2518, a4, 011111
primes, m22, t100, w2, 581, 315, 2400, 3229, 105.9118, 0.8793, 398, 30, a2, 010110
genPassword, m16, t100, w4, 323, 101, 667, 1045, 40.8776, 0.8367, 398, 63, a2, 101011
huffmanCodingEff, m398, t50, w4, 19662, 157, 27520, 48956, 69.1457, 0.849, 1874, 239, a3, 010111
factorial, m62, t100, w4, 3198, 102, 14062, 17696, 226.8065, 0.9677, 403, 18, a3, 110101
factorial, m62, t100, w8, 1008, 38, 10164, 11432, 163.9355, 0.9677, 403, 18, a2, 100111
factorial, m15, t100, w4, 263, 307, 3531, 3975, 227.8065, 0.9677, 403, 18, a3, 001011
transpose, m49, t50, w4, 1264, 160, 6984, 8331, 140.6309, 0.8993, 903, 40, a5, 011011
mergeSort, m75, t50, w4, 2338, 150, 7680, 10234, 101.9558, 0.9336, 1900, 129, a3, 010111
mergeSort, m75, t50, w8, 2343, 21, 3539, 5920, 46.9867, 0.9336, 1900, 129, a3, 100011
selectSort, m46, t50, w2, 1528, 157, 20040, 21830, 435.6522, 0.9101, 1900, 45, a3, 010111
mergeSort, m113, t50, w8, 3522, 131, 5275, 9024, 46.6858, 0.9336, 1900, 129, a3, 011111
factorial, m62, t100, w8, 2922, 40, 10164, 13354, 163.9355, 0.9677, 403, 18, a2, 100101
quickSort, m254, t50, w2, 13592, 162, 164040, 179608, 645.8268, 0.9603, 1900, 56, a3, 101110
dictionaryOrder, m35, t100, w2, 1770, 328, 17077, 19251, 481.0423, 0.9265, 8248, 32, a3, 000100
maxArrSumNeg, m37, t50, w8, 894, 143, 3687, 4671, 98.7589, 0.9358, 1910, 63, a3, 001111
primes, m136, t100, w4, 2328, 296, 5082, 8890, 37.3676, 0.8793, 398, 30, a3, 001110
minProd, m90, t50, w4, 2245, 150, 2634, 4995, 29.1105, 0.7845, 1946, 72, a2, 011011
selectSort, m184, t50, w2, 12366, 165, 80370, 93728, 436.7935, 0.9101, 1900, 45, a2, 100101
mergeSort, m452, t50, w4, 13606, 151, 45666, 59756, 101.031, 0.9336, 1900, 129, a3, 010011
genPassword, m24, t100, w2, 736, 327, 2780, 3713, 113.4898, 0.8367, 398, 63, a5, 001011
factorial, m10, t100, w2, 263, 313, 6647, 7032, 643.2581, 0.9677, 403, 18, a4, 110010
squareMatrix, m364, t50, w2, 28042, 159, 111074, 140578, 305.1484, 1.0, 903, 72, a5, 101101
dictionaryOrder, m35, t100, w4, 584, 306, 5987, 6940, 168.6479, 0.9265, 8248, 32, a3, 010110
factorial, m15, t100, w4, 795, 100, 3520, 4421, 227.129, 0.9677, 403, 18, a3, 100101
huffmanCoding, m104, t50, w4, 6155, 50, 11442, 17680, 109.3217, 0.9013, 1874, 318, a5, 100010
anagram, m120, t100, w2, 3230, 320, 16296, 20270, 135.8, 0.8667, 1370, 37, a4, 100011
transpose, m49, t50, w2, 3895, 156, 20666, 24778, 416.094, 0.8993, 903, 40, a4, 001101
parg, m1254, t52, w2, 218941, 174, 4323, 223649, 3.4464, 1.0, 418, 2518, a2, 010011
huffmanCodingEff, m398, t50, w2, 30136, 162, 81514, 114532, 204.809, 0.849, 1874, 239, a2, 000110
genPassword, m24, t100, w2, 739, 311, 2751, 3768, 112.3061, 0.8367, 398, 63, a3, 000111
selectSort, m30, t50, w2, 1016, 163, 13394, 14659, 436.7826, 0.9101, 1900, 45, a2, 010110
parg, m836, t52, w4, 142629, 172, 877, 143766, 1.0494, 1.0, 418, 2518, a5, 000010
genPassword, m98, t100, w4, 1992, 97, 4088, 6402, 41.7143, 0.8367, 398, 63, a2, 100011
mergeSort, m452, t50, w2, 40746, 154, 137322, 178568, 303.8097, 0.9336, 1900, 129, a3, 011000
parg, m5018, t52, w4, 851492, 50, 5616, 889716, 1.1192, 1.0, 418, 2518, a4, 101110
squareMatrix, m60, t50, w8, 1619, 131, 3467, 5159, 57.1538, 1.0, 903, 72, a3, 001010
transpose, m49, t50, w2, 1935, 158, 20747, 22764, 417.7248, 0.8993, 903, 40, a3, 010011
factorial, m15, t100, w2, 793, 324, 9782, 10766, 631.129, 0.9677, 403, 18, a3, 101000
huffmanCoding, m628, t50, w8, 38590, 19, 30740, 72420, 48.949, 0.9279, 1874, 318, a2, 100110
quickSort, m63, t50, w2, 6667, 163, 43450, 50434, 684.252, 0.9603, 1900, 56, a2, 011101
squareMatrix, m91, t50, w2, 7100, 157, 27798, 35284, 305.478, 1.0, 903, 72, a5, 100101
huffmanCoding, m104, t50, w8, 6244, 153, 5106, 11892, 48.7834, 0.9279, 1874, 318, a3, 011110
factorial, m10, t100, w4, 167, 101, 2344, 2630, 226.871, 0.9677, 403, 18, a3, 100110
bubbleSort, m226, t50, w2, 7294, 167, 437282, 446430, 1934.8761, 0.9182, 1900, 41, a4, 000110
anagram, m120, t100, w2, 3208, 330, 15922, 19918, 132.6833, 0.8667, 1370, 37, a4, 111011
parg, m836, t52, w4, 142521, 51, 859, 143600, 1.0275, 1.0, 418, 2518, a3, 100010
mergeSort, m75, t50, w8, 2440, 107, 3525, 6359, 46.7965, 0.9336, 1900, 129, a2, 000110
factorial, m62, t100, w4, 1050, 292, 14076, 15832, 227.0323, 0.9677, 403, 18, a3, 010011
factorial, m15, t100, w2, 790, 313, 9747, 10725, 628.871, 0.9677, 403, 18, a5, 001000
mergeSort, m75, t50, w2, 6802, 160, 22795, 29886, 302.5929, 0.9336, 1900, 129, a4, 011101
insertSort, m36, t50, w8, 799, 127, 2114, 2981, 58.7315, 0.9444, 1900, 40, a3, 000011
mergeSort, m75, t50, w2, 3446, 166, 22814, 26550, 302.8407, 0.9336, 1900, 129, a3, 110111
huffmanCodingEff, m66, t50, w4, 3289, 162, 4582, 8147, 69.0754, 0.849, 1874, 239, a3, 011111
selectSort, m184, t50, w4, 4100, 151, 30016, 35558, 163.1304, 0.9101, 1900, 45, a2, 010110
mergeSort, m113, t50, w4, 3349, 151, 11429, 14900, 101.146, 0.9336, 1900, 129, a3, 000010
mergeSort, m75, t50, w4, 2275, 153, 7596, 10052, 100.8407, 0.9336, 1900, 129, a2, 001111
transpose, m74, t50, w2, 2882, 157, 31185, 34188, 418.5906, 0.8993, 903, 40, a4, 011011
