dictionaryOrder, m23, t100, w2, 1219, 320, 11181, 12625, 472.4648, 0.9265, 8248, 32, a3, 010101
huffmanCoding, m157, t50, w4, 9004, 149, 17125, 26298, 109.0764, 0.9013, 1874, 318, a3, 001011
bubbleSort, m226, t50, w2, 14834, 163, 430800, 446950, 1906.1947, 0.9182, 1900, 41, a2, 111101
mergeSort, m113, t50, w2, 5333, 144, 34391, 40454, 304.3451, 0.9336, 1900, 129, a3, 001110
parg, m836, t52, w2, 171173, 173, 2838, 179759, 3.3942, 1.0, 418, 2518, a4, 111100
squareMatrix, m91, t50, w8, 2348, 133, 5157, 7749, 56.6758, 1.0, 903, 72, a2, 010111
anagram, m120, t100, w2, 6440, 315, 16166, 23356, 134.7167, 0.8667, 1370, 37, a3, 010000
factorial, m15, t100, w2, 826, 316, 9762, 10874, 629.8065, 0.9677, 403, 18, a2, 110100
add, m4, t100, w2, 85, 320, 141, 351, 35.4167, 0.9167, 583, 13, a2, 001011
genPassword, m16, t100, w2, 493, 320, 1854, 2477, 113.5102, 0.8367, 398, 63, a2, 110011
insertSort, m54, t50, w8, 1176, 21, 3154, 4379, 58.4167, 0.9444, 1900, 40, a3, 100011
huffmanCoding, m104, t50, w4, 5961, 51, 14218, 20257, 135.8408, 0.9013, 1874, 318, a5, 110010
genPassword, m24, t100, w2, 734, 313, 2794, 3830, 114.0612, 0.8367, 398, 63, a4, 100111
mergeSort, m75, t50, w2, 6682, 163, 22804, 29572, 302.7168, 0.9336, 1900, 129, a5, 110001
parg, m836, t52, w4, 142337, 55, 2787, 145347, 3.3332, 1.0, 418, 2518, a4, 110011
longestIncrease, m57, t50, w2, 2427, 9560, 65248, 72753, 1144.7018, 0.9196, 1946, 70, a2, 011111
anagram, m20, t100, w2, 1059, 299, 2691, 3867, 134.5667, 0.8667, 1370, 37, a3, 000000
factorial, m15, t100, w8, 243, 287, 2541, 2991, 163.9355, 0.9677, 403, 18, a2, 001111
mergeSort, m75, t50, w2, 3418, 162, 22703, 26616, 301.3673, 0.9336, 1900, 129, a3, 101110
genPassword, m16, t100, w2, 494, 313, 1840, 2461, 112.6531, 0.8367, 398, 63, a2, 111010
mergeSort, m113, t50, w2, 5092, 160, 34181, 39401, 302.4912, 0.9336, 1900, 129, a5, 101011
squareMatrix, m60, t50, w4, 1560, 141, 7697, 9676, 126.8736, 1.0, 903, 72, a3, 000110
squareMatrix, m91, t50, w2, 3492, 155, 34424, 38031, 378.2912, 1.0, 903, 72, a4, 000011
bubbleSort, m37, t50, w8, 836, 139, 20530, 21601, 545.0619, 0.9182, 1900, 41, a4, 010110
insertSort, m36, t50, w4, 803, 147, 4117, 4993, 114.3704, 0.9444, 1900, 40, a3, 001010
genPassword, m98, t100, w2, 3028, 315, 11112, 15232, 113.3878, 0.8367, 398, 63, a3, 111111
quickSort, m254, t50, w8, 9434, 20, 30012, 40138, 118.1575, 0.9603, 1900, 56, a2, 101111
squareMatrix, m364, t50, w2, 14048, 162, 137558, 152102, 377.9066, 1.0, 903, 72, a2, 111010
genPassword, m24, t100, w2, 750, 312, 2775, 3817, 113.2653, 0.8367, 398, 63, a4, 000111
mergeSort, m75, t50, w8, 2309, 132, 3539, 5927, 46.9867, 0.9336, 1900, 129, a3, 000010
anagram, m120, t100, w2, 3180, 322, 15910, 20356, 132.5833, 0.8667, 1370, 37, a4, 111111
squareMatrix, m91, t50, w4, 2333, 145, 11376, 13955, 125.011, 1.0, 903, 72, a5, 000111
genPassword, m16, t100, w4, 339, 99, 688, 1083, 42.1633, 0.8367, 398, 63, a5, 101010
transpose, m74, t50, w2, 2913, 158, 31110, 34145, 417.5839, 0.8993, 903, 40, a3, 000010
primes, m136, t100, w2, 7252, 317, 14480, 23240, 106.4706, 0.8793, 398, 30, a3, 111100
longestIncrease, m57, t50, w4, 4936, 3435, 26777, 33533, 469.7807, 0.9035, 1946, 70, a4, 111101
quickSort, m42, t50, w2, 4455, 167, 29008, 33786, 685.2362, 0.9603, 1900, 56, a3, 000100
dictionaryOrder, m23, t100, w2, 634, 315, 11212, 12058, 473.7606, 0.9265, 8248, 32, a3, 011111
add, m24, t100, w8, 348, 43, 114, 696, 4.75, 0.9167, 583, 13, a4, 111011
genPassword, m98, t100, w8, 1944, 40, 1932, 4090, 19.7143, 0.8367, 398, 63, a2, 101010
factorial, m15, t100, w8, 730, 42, 2540, 3339, 163.9032, 0.9677, 403, 18, a3, 110101
parg, m836, t52, w8, 145454, 124, 275, 149552, 0.3288, 1.0, 418, 2518, a3, 010110
squareMatrix, m60, t50, w4, 1565, 49, 7714, 9323, 127.1538, 1.0, 903, 72, a4, 101010
factorial, m10, t100, w4, 166, 319, 2349, 2642, 227.3548, 0.9677, 403, 18, a2, 011010
primes, m22, t100, w2, 1197, 317, 2357, 3749, 104.0147, 0.8793, 398, 30, a4, 010101
bubbleSort, m226, t50, w2, 7432, 166, 433110, 442446, 1916.4159, 0.9182, 1900, 41, a3, 101110
mergeSort, m75, t50, w2, 3374, 158, 22719, 26178, 301.5885, 0.9336, 1900, 129, a3, 000010
maxArrSumNeg, m224, t50, w4, 5260, 49, 45068, 50810, 201.1964, 0.9358, 1910, 63, a2, 101111
huffmanCodingEff, m66, t50, w2, 5099, 158, 13692, 19247, 206.4221, 0.849, 1874, 239, a4, 110110
factorial, m15, t100, w4, 250, 104, 3517, 3948, 226.9355, 0.9677, 403, 18, a2, 111110
maxArrSumNeg, m37, t50, w4, 2521, 50, 6831, 9597, 182.9732, 0.9358, 1910, 63, a2, 110100
dictionaryOrder, m142, t100, w4, 2360, 99, 23258, 26854, 163.7887, 0.9265, 8248, 32, a2, 100110
dictionaryOrder, m142, t100, w2, 3902, 324, 67644, 72810, 476.3662, 0.9265, 8248, 32, a4, 010111
massive, m16, t60, w8, 208, 19141, 17318, 23923, 1060.2857, 1.0, 169, 13, a5, 111010
add, m24, t100, w2, 546, 328, 872, 2184, 36.3333, 0.9167, 583, 13, a4, 100010
parg, m836, t52, w2, 174032, 171, 2863, 177151, 3.4233, 1.0, 418, 2518, a5, 010001
transpose, m49, t50, w2, 3929, 155, 20676, 24826, 416.3087, 0.8993, 903, 40, a4, 011101
mergeSort, m113, t50, w4, 3494, 149, 11537, 15153, 102.0973, 0.9336, 1900, 129, a4, 011011
squareMatrix, m60, t50, w2, 2357, 160, 22960, 25398, 378.4615, 1.0, 903, 72, a4, 101010
add, m6, t100, w2, 146, 317, 199, 531, 33.1667, 0.9167, 583, 13, a3, 110010
bubbleSort, m37, t50, w4, 2480, 50, 25811, 28387, 685.2478, 0.9182, 1900, 41, a3, 111101
factorial, m62, t100, w4, 3116, 303, 14094, 17934, 227.3226, 0.9677, 403, 18, a2, 010000
primes, m22, t100, w2, 585, 325, 2403, 3242, 106.0294, 0.8793, 398, 30, a3, 001110
mergeSort, m113, t50, w2, 5128, 162, 34249, 39817, 303.0885, 0.9336, 1900, 129, a4, 000111
add, m24, t100, w4, 338, 97, 218, 862, 9.0833, 0.9167, 583, 13, a4, 101011
squareMatrix, m364, t50, w2, 14174, 157, 137576, 152228, 377.956, 1.0, 903, 72, a5, 111010
parg, m5018, t52, w4, 1062648, 56, 5266, 1069242, 1.0494, 1.0, 418, 2518, a4, 101000
huffmanCodingEff, m66, t50, w8, 3601, 21, 2018, 5958, 30.4221, 0.849, 1874, 239, a3, 101110
maxArrSumNeg, m56, t50, w4, 1348, 149, 12567, 14083, 224.4196, 0.9358, 1910, 63, a3, 000111
insertSort, m36, t50, w8, 784, 133, 2112, 2966, 58.6667, 0.9444, 1900, 40, a2, 001010
primes, m22, t100, w2, 1202, 321, 2408, 3807, 106.25, 0.8793, 398, 30, a2, 101101
factorial, m62, t100, w4, 1020, 96, 14070, 15804, 226.9355, 0.9677, 403, 18, a3, 101110
insertSort, m54, t50, w4, 1177, 148, 6216, 7503, 115.1111, 0.9444, 1900, 40, a5, 000010
add, m6, t100, w2, 141, 320, 187, 553, 31.1667, 0.9167, 583, 13, a4, 001110
minProd, m90, t50, w4, 2220, 48, 2873, 5156, 31.7459, 0.7845, 1946, 72, a5, 110010
genPassword, m24, t100, w2, 744, 316, 2748, 3680, 112.1633, 0.8367, 398, 63, a3, 011011
transpose, m49, t50, w2, 1931, 159, 20793, 22807, 418.6644, 0.8993, 903, 40, a4, 100011
primes, m22, t100, w2, 1177, 314, 2399, 3770, 105.8529, 0.8793, 398, 30, a3, 011101
transpose, m49, t50, w2, 3963, 157, 20733, 24777, 417.4564, 0.8993, 903, 40, a5, 010001
huffmanCoding, m628, t50, w4, 35864, 152, 68678, 105198, 109.3599, 0.9013, 1874, 318, a3, 011010
parg, m1254, t52, w8, 216427, 93, 401, 217177, 0.32, 1.0, 418, 2518, a4, 001011
mergeSort, m113, t50, w4, 3374, 51, 11505, 14950, 101.8186, 0.9336, 1900, 129, a5, 111011
parg, m5018, t52, w2, 872498, 179, 17398, 911630, 3.4671, 1.0, 418, 2518, a2, 100111
