huffmanCoding, m628, t50, w8, 37736, 147, 30732, 70298, 48.9363, 0.9279, 1874, 318, a2, 010111
mergeSort, m452, t50, w2, 20348, 167, 136146, 159430, 301.208, 0.9336, 1900, 129, a2, 111110
genPassword, m98, t100, w2, 3004, 326, 11088, 14878, 113.1429, 0.8367, 398, 63, a2, 101011
mergeSort, m75, t50, w8, 2334, 20, 3514, 5939, 46.646, 0.9336, 1900, 129, a3, 100111
factorial, m15, t100, w2, 398, 319, 9796, 10445, 632, 0.9677, 403, 18, a4, 011111
parg, m1254, t52, w2, 219067, 175, 4372, 223826, 3.4851, 1.0, 418, 2518, a2, 011010
selectSort, m46, t50, w8, 999, 22, 2944, 4052, 64.0109, 0.9101, 1900, 45, a3, 111111
transpose, m49, t50, w2, 1931, 159, 20793, 22807, 418.6644, 0.8993, 903, 40, a4, 100011
insertSort, m36, t50, w4, 786, 49, 4120, 4987, 114.4444, 0.9444, 1900, 40, a2, 111111
insertSort, m54, t50, w8, 1181, 23, 3131, 4358, 57.9907, 0.9444, 1900, 40, a3, 111011
parg, m836, t52, w8, 144732, 20, 273, 145218, 0.3272, 1.0, 418, 2518, a2, 111011
anagram, m120, t100, w2, 3210, 322, 16282, 20262, 135.6833, 0.8667, 1370, 37, a2, 100011
quickSort, m63, t50, w4, 2255, 48, 13935, 16632, 219.4488, 0.9603, 1900, 56, a3, 110110
factorial, m10, t100, w8, 171, 39, 1693, 1911, 163.871, 0.9677, 403, 18, a3, 100111
dictionaryOrder, m35, t100, w2, 969, 324, 16825, 18200, 473.9577, 0.9265, 8248, 32, a2, 110110
squareMatrix, m91, t50, w4, 2381, 148, 11551, 14207, 126.9341, 1.0, 903, 72, a2, 010111
anagram, m20, t100, w2, 543, 316, 2745, 3412, 137.25, 0.8667, 1370, 37, a5, 010011
mergeSort, m75, t50, w4, 2249, 50, 7632, 10055, 101.3097, 0.9336, 1900, 129, a2, 100111
parg, m836, t52, w8, 144321, 19, 269, 148334, 0.322, 1.0, 418, 2518, a5, 101110
factorial, m62, t100, w8, 1032, 264, 10158, 11850, 163.8387, 0.9677, 403, 18, a3, 000010
bubbleSort, m56, t50, w2, 3780, 170, 107504, 111766, 1902.7345, 0.9182, 1900, 41, a3, 010100
parg, m1254, t52, w2, 219555, 175, 4357, 227517, 3.4731, 1.0, 418, 2518, a3, 000111
anagram, m120, t100, w8, 2038, 42, 10004, 12750, 83.3667, 0.9286, 1370, 37, a3, 100110
parg, m5018, t52, w4, 851060, 53, 5244, 857622, 1.045, 1.0, 418, 2518, a4, 101011
primes, m22, t100, w4, 388, 104, 841, 1310, 37.1029, 0.8793, 398, 30, a3, 110111
squareMatrix, m60, t50, w8, 1623, 121, 3462, 5221, 57.0714, 1.0, 903, 72, a3, 001111
mergeSort, m75, t50, w2, 3401, 158, 22736, 26222, 301.8142, 0.9336, 1900, 129, a2, 000011
transpose, m298, t50, w2, 11576, 158, 124826, 136898, 418.8792, 0.8993, 903, 40, a2, 110010
parg, m5018, t52, w8, 868708, 19, 1638, 871612, 0.3264, 1.0, 418, 2518, a5, 101010
dictionaryOrder, m23, t100, w8, 390, 254, 1667, 2247, 70.4507, 0.9265, 8248, 32, a2, 010111
mergeSort, m452, t50, w2, 20208, 158, 136136, 159376, 301.1858, 0.9336, 1900, 129, a2, 010110
insertSort, m54, t50, w4, 1173, 155, 6161, 7510, 114.0926, 0.9444, 1900, 40, a2, 001111
insertSort, m216, t50, w8, 4830, 19, 12580, 17590, 58.2407, 0.9444, 1900, 40, a3, 110010
minProd, m362, t50, w2, 13364, 161, 31754, 47600, 87.7182, 0.8659, 1946, 72, a3, 101110
add, m6, t100, w2, 146, 318, 200, 533, 33.4167, 0.9167, 583, 13, a3, 100010
squareMatrix, m364, t50, w8, 9710, 134, 20900, 31078, 57.4176, 1.0, 903, 72, a3, 010011
dictionaryOrder, m23, t100, w4, 386, 101, 3873, 4429, 163.6761, 0.9265, 8248, 32, a3, 111111
