dictionaryOrder, m71, t100, w2, 1968, 324, 33524, 36316, 472.169, 0.9265, 8248, 32, a2, 101110
huffmanCoding, m314, t50, w4, 17880, 52, 34318, 52431, 109.293, 0.9013, 1874, 318, a3, 110010
parg, m2509, t52, w8, 443597, 112, 822, 445153, 0.3276, 1.0, 418, 2518, a2, 010010
parg, m2509, t52, w2, 429132, 171, 8701, 438592, 3.4679, 1.0, 418, 2518, a2, 110010
longestIncrease, m114, t50, w8, 3171, 2281, 24875, 30763, 218.2018, 0.9196, 1946, 70, a3, 110111
maxArrSumNeg, m112, t50, w8, 2675, 21, 10140, 13343, 90.5357, 0.9358, 1910, 63, a3, 111110
mergeSort, m226, t50, w2, 10184, 160, 68363, 78803, 302.4912, 0.9336, 1900, 129, a5, 101011
longestIncrease, m114, t50, w2, 4914, 9535, 130063, 145238, 1140.9035, 0.9196, 1946, 70, a2, 001110
anagram, m60, t100, w2, 1593, 321, 8119, 10095, 135.3167, 0.8667, 1370, 37, a2, 010011
insertSort, m108, t50, w8, 2414, 154, 6372, 9011, 59, 0.9444, 1900, 40, a2, 000010
add, m12, t100, w2, 279, 322, 415, 1078, 34.5833, 0.9167, 583, 13, a5, 011011
insertSort, m108, t50, w8, 2347, 140, 6346, 8995, 58.7593, 0.9444, 1900, 40, a2, 001111
parg, m2509, t52, w8, 438173, 145, 865, 449480, 0.3448, 1.0, 418, 2518, a2, 000110
insertSort, m108, t50, w4, 2386, 50, 12356, 14866, 114.4074, 0.9444, 1900, 40, a3, 100010
quickSort, m127, t50, w8, 4686, 144, 15006, 20458, 118.1575, 0.9603, 1900, 56, a2, 011110
factorial, m31, t100, w2, 774, 321, 19705, 20863, 635.6452, 0.9677, 403, 18, a5, 001010
minProd, m181, t50, w4, 4392, 50, 5278, 9798, 29.1602, 0.7845, 1946, 72, a2, 101011
longestIncrease, m114, t50, w2, 10224, 9825, 129878, 150635, 1139.2807, 0.9196, 1946, 70, a3, 101100
transpose, m149, t50, w8, 3747, 146, 10121, 14714, 67.9262, 0.9054, 903, 40, a3, 000110
factorial, m31, t100, w8, 497, 292, 5076, 5926, 163.7419, 0.9677, 403, 18, a3, 010010
dictionaryOrder, m71, t100, w2, 1909, 316, 33566, 36263, 472.7606, 0.9265, 8248, 32, a2, 100110
massive, m49, t60, w4, 664, 38260, 61637, 100615, 1257.898, 1.0, 169, 13, a5, 111010
primes, m68, t100, w2, 1739, 323, 7219, 9621, 106.1618, 0.8793, 398, 30, a2, 111111
quickSort, m127, t50, w4, 4457, 153, 27883, 32944, 219.5512, 0.9603, 1900, 56, a2, 010111
anagram, m60, t100, w2, 1610, 316, 7964, 10211, 132.7333, 0.8667, 1370, 37, a4, 001111
squareMatrix, m182, t50, w2, 7085, 162, 55759, 64117, 306.3681, 1.0, 903, 72, a5, 010110
primes, m68, t100, w2, 1759, 314, 7217, 9741, 106.1324, 0.8793, 398, 30, a3, 100110
squareMatrix, m182, t50, w4, 4620, 144, 23145, 27991, 127.1703, 1.0, 903, 72, a2, 000011
squareMatrix, m182, t50, w4, 4641, 49, 22632, 28409, 124.3516, 1.0, 903, 72, a5, 110110
genPassword, m49, t100, w2, 1518, 321, 5497, 7401, 112.1837, 0.8367, 398, 63, a2, 001010
transpose, m149, t50, w8, 3839, 144, 10122, 14627, 67.9329, 0.9054, 903, 40, a3, 010111
factorial, m31, t100, w2, 1571, 326, 19533, 21489, 630.0968, 0.9677, 403, 18, a3, 001000
parg, m2509, t52, w8, 435635, 19, 824, 437089, 0.3284, 1.0, 418, 2518, a3, 100011
parg, m2509, t52, w2, 429958, 175, 8616, 455636, 3.434, 1.0, 418, 2518, a5, 101110
insertSort, m108, t50, w4, 2412, 154, 12270, 14904, 113.6111, 0.9444, 1900, 40, a4, 011010
add, m12, t100, w4, 154, 95, 133, 449, 11.0833, 0.9167, 583, 13, a4, 110011
anagram, m60, t100, w4, 1020, 103, 5003, 6267, 83.3833, 0.9286, 1370, 37, a3, 101111
insertSort, m108, t50, w4, 2400, 51, 12338, 14971, 114.2407, 0.9444, 1900, 40, a2, 100111
mergeSort, m226, t50, w2, 10253, 159, 68116, 79854, 301.3982, 0.9336, 1900, 129, a4, 100110
huffmanCodingEff, m199, t50, w4, 10250, 47, 13741, 25261, 69.0503, 0.849, 1874, 239, a2, 100110
factorial, m31, t100, w2, 1628, 319, 19547, 21557, 630.5484, 0.9677, 403, 18, a2, 110000
genPassword, m49, t100, w2, 1448, 309, 5584, 7410, 113.9592, 0.8367, 398, 63, a3, 001011
parg, m2509, t52, w2, 438192, 174, 8633, 447586, 3.4408, 1.0, 418, 2518, a5, 010011
factorial, m31, t100, w4, 523, 299, 7032, 7968, 226.8387, 0.9677, 403, 18, a3, 001111
parg, m2509, t52, w4, 425456, 55, 2584, 431803, 1.0299, 1.0, 418, 2518, a2, 101111
selectSort, m92, t50, w8, 2071, 21, 5875, 8417, 63.8587, 0.9101, 1900, 45, a3, 110110
parg, m2509, t52, w2, 439330, 175, 8438, 448538, 3.3631, 1.0, 418, 2518, a4, 000011
longestIncrease, m114, t50, w8, 3259, 2244, 24419, 30526, 214.2018, 0.9196, 1946, 70, a3, 111110
longestIncrease, m114, t50, w2, 4944, 9759, 131073, 146334, 1149.7632, 0.9196, 1946, 70, a2, 100111
mergeSort, m226, t50, w2, 10203, 163, 68113, 78573, 301.385, 0.9336, 1900, 129, a4, 111010
transpose, m149, t50, w4, 3791, 48, 20924, 24848, 140.4295, 0.8993, 903, 40, a5, 101010
squareMatrix, m182, t50, w4, 4685, 49, 22578, 27757, 124.0549, 1.0, 903, 72, a5, 110111
longestIncrease, m114, t50, w4, 3184, 3456, 48663, 55395, 426.8684, 0.9035, 1946, 70, a3, 110010
dictionaryOrder, m71, t100, w4, 1150, 100, 11622, 13357, 163.6901, 0.9265, 8248, 32, a2, 101110
add, m12, t100, w2, 278, 316, 385, 1037, 32.0833, 0.9167, 583, 13, a3, 100011
add, m12, t100, w2, 278, 322, 343, 1083, 28.5833, 0.9167, 583, 13, a2, 110110
bubbleSort, m113, t50, w2, 7322, 161, 213408, 221442, 1888.5664, 0.9182, 1900, 41, a3, 011101
genPassword, m49, t100, w2, 1520, 312, 5562, 7464, 113.5102, 0.8367, 398, 63, a2, 011011
longestIncrease, m114, t50, w4, 3173, 3449, 47673, 54392, 418.1842, 0.9035, 1946, 70, a4, 111011
factorial, m31, t100, w8, 505, 38, 5089, 5847, 164.1613, 0.9677, 403, 18, a2, 101110
parg, m2509, t52, w2, 429437, 170, 8762, 455477, 3.4922, 1.0, 418, 2518, a3, 110110
parg, m2509, t52, w2, 439110, 175, 8714, 455034, 3.4731, 1.0, 418, 2518, a3, 000111
squareMatrix, m182, t50, w8, 4805, 19, 10318, 15364, 56.6923, 1.0, 903, 72, a3, 100111
bubbleSort, m113, t50, w2, 3676, 164, 214841, 219260, 1901.2478, 0.9182, 1900, 41, a2, 000111
huffmanCoding, m314, t50, w4, 17913, 161, 34183, 52434, 108.8631, 0.9013, 1874, 318, a2, 000010
add, m12, t100, w2, 277, 319, 391, 1043, 32.5833, 0.9167, 583, 13, a3, 010010
factorial, m31, t100, w2, 1609, 326, 19487, 21483, 628.6129, 0.9677, 403, 18, a2, 010001
factorial, m31, t100, w2, 1616, 322, 19469, 21465, 628.0323, 0.9677, 403, 18, a3, 000000
parg, m2509, t52, w8, 446987, 115, 806, 448510, 0.3212, 1.0, 418, 2518, a5, 010011
parg, m2509, t52, w8, 433013, 22, 810, 435601, 0.3228, 1.0, 418, 2518, a3, 111111
huffmanCoding, m314, t50, w4, 17978, 161, 34237, 52555, 109.035, 0.9013, 1874, 318, a2, 011011
mergeSort, m226, t50, w2, 10169, 159, 68060, 78480, 301.1504, 0.9336, 1900, 129, a3, 110011
huffmanCoding, m314, t50, w8, 18714, 154, 15293, 35622, 48.7038, 0.9279, 1874, 318, a2, 000110
squareMatrix, m182, t50, w4, 4643, 50, 22776, 28566, 125.1429, 1.0, 903, 72, a5, 111110
selectSort, m92, t50, w8, 1995, 23, 5833, 8076, 63.4022, 0.9101, 1900, 45, a3, 101111
longestIncrease, m114, t50, w2, 9762, 9485, 130293, 150270, 1142.9211, 0.9196, 1946, 70, a4, 000100
huffmanCoding, m314, t50, w4, 18431, 147, 34511, 53283, 109.9076, 0.9013, 1874, 318, a3, 001010
bubbleSort, m113, t50, w2, 7393, 163, 215155, 223526, 1904.0265, 0.9182, 1900, 41, a2, 111100
minProd, m181, t50, w2, 6665, 167, 15814, 23731, 87.3702, 0.8659, 1946, 72, a4, 000110
factorial, m31, t100, w2, 785, 320, 19540, 20704, 630.3226, 0.9677, 403, 18, a2, 100011
longestIncrease, m114, t50, w8, 3205, 2303, 24780, 30675, 217.3684, 0.9196, 1946, 70, a3, 111111
quickSort, m127, t50, w8, 4659, 21, 15006, 20013, 118.1575, 0.9603, 1900, 56, a3, 110111
factorial, m31, t100, w8, 505, 280, 5081, 5931, 163.9032, 0.9677, 403, 18, a2, 010010
parg, m2509, t52, w8, 434542, 148, 813, 446866, 0.324, 1.0, 418, 2518, a3, 001110
insertSort, m108, t50, w4, 2358, 50, 12391, 14874, 114.7315, 0.9444, 1900, 40, a2, 101010
anagram, m60, t100, w2, 1615, 320, 8148, 10135, 135.8, 0.8667, 1370, 37, a4, 100011
squareMatrix, m182, t50, w8, 4740, 21, 10333, 15175, 56.7747, 1.0, 903, 72, a2, 100011
mergeSort, m226, t50, w2, 10162, 160, 68144, 79120, 301.5221, 0.9336, 1900, 129, a2, 111111
mergeSort, m226, t50, w4, 6835, 49, 22840, 30149, 101.0619, 0.9336, 1900, 129, a2, 111111
huffmanCodingEff, m199, t50, w4, 10328, 45, 13775, 25383, 69.2211, 0.849, 1874, 239, a3, 110110
