anagram, m60, t100, w8, 1016, 38, 5002, 6367, 83.3667, 0.9286, 1370, 37, a2, 111110
dictionaryOrder, m71, t100, w8, 1165, 240, 5002, 6832, 70.4507, 0.9265, 8248, 32, a3, 001110
squareMatrix, m182, t50, w4, 4865, 150, 23299, 28401, 128.0165, 1.0, 903, 72, a4, 001011
huffmanCoding, m314, t50, w8, 19173, 121, 15378, 35514, 48.9745, 0.9279, 1874, 318, a3, 011111
factorial, m31, t100, w2, 779, 321, 19489, 20650, 628.6774, 0.9677, 403, 18, a5, 110010
huffmanCodingEff, m199, t50, w8, 10173, 136, 6012, 17005, 30.2111, 0.849, 1874, 239, a3, 011111
factorial, m31, t100, w2, 1601, 325, 19545, 21536, 630.4839, 0.9677, 403, 18, a4, 100000
insertSort, m108, t50, w4, 2361, 53, 12322, 14811, 114.0926, 0.9444, 1900, 40, a2, 100011
anagram, m60, t100, w2, 1611, 320, 8354, 10344, 139.2333, 0.8667, 1370, 37, a5, 010010
factorial, m31, t100, w8, 516, 39, 5276, 5896, 170.1935, 0.9677, 403, 18, a5, 110010
parg, m2509, t52, w4, 425795, 53, 2583, 429057, 1.0295, 1.0, 418, 2518, a3, 101011
minProd, m181, t50, w4, 4475, 51, 5256, 9856, 29.0387, 0.7845, 1946, 72, a3, 110011
minProd, m181, t50, w2, 6602, 161, 15534, 23367, 85.8232, 0.8659, 1946, 72, a4, 010110
minProd, m181, t50, w2, 6572, 161, 15839, 23172, 87.5083, 0.8659, 1946, 72, a3, 001111
anagram, m60, t100, w2, 1576, 310, 8135, 10080, 135.5833, 0.8667, 1370, 37, a4, 000010
transpose, m149, t50, w4, 3845, 51, 20915, 24898, 140.3691, 0.8993, 903, 40, a4, 111010
mergeSort, m226, t50, w2, 10228, 158, 68067, 79232, 301.1814, 0.9336, 1900, 129, a4, 001111
mergeSort, m226, t50, w8, 7032, 21, 10593, 17745, 46.8717, 0.9336, 1900, 129, a2, 101010
huffmanCoding, m314, t50, w8, 18555, 20, 15315, 34557, 48.7739, 0.9279, 1874, 318, a3, 110111
genPassword, m49, t100, w2, 1500, 310, 5588, 7466, 114.0408, 0.8367, 398, 63, a4, 000010
transpose, m149, t50, w4, 3763, 149, 20885, 24882, 140.1678, 0.8993, 903, 40, a4, 001010
longestIncrease, m114, t50, w4, 3148, 3452, 51639, 58340, 452.9737, 0.9035, 1946, 70, a2, 100010
insertSort, m108, t50, w8, 2356, 147, 6300, 8876, 58.3333, 0.9444, 1900, 40, a3, 001011
dictionaryOrder, m71, t100, w2, 1925, 322, 33531, 36123, 472.2676, 0.9265, 8248, 32, a2, 011111
