file name, mutants, tests, cores, compilation time, original time, mutants time, total time, time per mutant, mutation score, ts size, lines, algorithm, optimizations
squareMatrix, m182, t50, w2, 7040, 155, 68900, 76177, 378.5714, 1.0, 903, 72, a4, 000010
insertSort, m108, t50, w4, 7178, 52, 36728, 44162, 340.0741, 0.9444, 1900, 40, a4, 110101
factorial, m31, t100, w4, 1581, 102, 7031, 8775, 226.8065, 0.9677, 403, 18, a2, 111001
maxArrSumNeg, m112, t50, w4, 2673, 47, 60725, 64130, 542.1875, 0.9358, 1910, 63, a4, 110110
mergeSort, m226, t50, w4, 6838, 51, 66628, 73608, 294.8142, 0.9336, 1900, 129, a4, 110011
parg, m2509, t52, w2, 519200, 171, 8558, 528518, 3.4109, 1.0, 418, 2518, a3, 000001
insertSort, m108, t50, w4, 7148, 48, 12330, 19708, 114.1667, 0.9444, 1900, 40, a2, 111101
genPassword, m49, t100, w2, 3028, 315, 5794, 9212, 118.2449, 0.8367, 398, 63, a3, 000000
quickSort, m127, t50, w2, 13076, 165, 86892, 100908, 684.189, 0.9603, 1900, 56, a4, 100100
parg, m2509, t52, w8, 434967, 24, 823, 437570, 0.328, 1.0, 418, 2518, a3, 110111
quickSort, m127, t50, w2, 6747, 164, 86889, 94659, 684.1654, 0.9603, 1900, 56, a4, 100110
squareMatrix, m182, t50, w2, 14137, 156, 68741, 83120, 377.6978, 1.0, 903, 72, a2, 110000
genPassword, m49, t100, w2, 3008, 318, 4536, 8232, 92.5714, 0.7895, 398, 63, a5, 101100
minProd, m181, t50, w2, 13212, 164, 15815, 29265, 87.3757, 0.7845, 1946, 72, a3, 001000
mergeSort, m226, t50, w4, 20071, 49, 22774, 42985, 100.7699, 0.9336, 1900, 129, a5, 110001
parg, m2509, t52, w2, 541826, 176, 8679, 551256, 3.4591, 1.0, 418, 2518, a3, 101001
mergeSort, m226, t50, w4, 6914, 51, 22799, 29860, 100.8805, 0.9336, 1900, 129, a2, 111010
primes, m68, t100, w4, 3552, 100, 2388, 6099, 35.1176, 0.75, 398, 30, a4, 101001
primes, m68, t100, w4, 1154, 300, 2509, 4019, 36.8971, 0.75, 398, 30, a5, 011010
anagram, m60, t100, w8, 984, 37, 5464, 6556, 91.0667, 0.8667, 1370, 37, a4, 110011
minProd, m181, t50, w4, 13346, 51, 5282, 18754, 29.1823, 0.7845, 1946, 72, a2, 111001
genPassword, m49, t100, w2, 3018, 317, 5523, 9078, 112.7143, 0.8367, 398, 63, a2, 111101
massive, m49, t60, w2, 974, 111065, 345101, 457339, 7042.8776, 0.9388, 169, 13, a3, 110111
huffmanCoding, m314, t50, w4, 17796, 161, 34313, 52447, 109.2771, 0.9013, 1874, 318, a3, 000010
bubbleSort, m113, t50, w8, 7447, 133, 76969, 84630, 681.1416, 0.8938, 1900, 41, a3, 011000
bubbleSort, m113, t50, w8, 7314, 127, 75109, 83126, 664.6814, 0.9182, 1900, 41, a3, 010100
insertSort, m108, t50, w8, 2329, 22, 6342, 8905, 58.7222, 0.9444, 1900, 40, a2, 111111
maxArrSumNeg, m112, t50, w8, 7893, 146, 10123, 18235, 90.3839, 0.9107, 1910, 63, a2, 011000
primes, m68, t100, w4, 3594, 99, 2547, 6294, 37.4559, 0.75, 398, 30, a3, 110001
massive, m49, t60, w4, 1886, 38287, 124454, 164957, 2539.8776, 0.9388, 169, 13, a3, 101100
insertSort, m108, t50, w2, 3647, 161, 24581, 28719, 227.6019, 0.92, 1900, 40, a5, 101111
primes, m68, t100, w8, 3318, 38, 860, 4279, 12.6471, 0.75, 398, 30, a3, 110001
genPassword, m49, t100, w8, 2854, 42, 947, 3941, 19.3265, 0.8367, 398, 63, a3, 110101
anagram, m60, t100, w8, 3066, 271, 5002, 8443, 83.3667, 0.9286, 1370, 37, a3, 010101
huffmanCodingEff, m199, t50, w2, 15221, 160, 40809, 57417, 205.0704, 0.8191, 1874, 239, a4, 111110
transpose, m149, t50, w4, 11799, 157, 20673, 32715, 138.745, 0.8993, 903, 40, a4, 001000
huffmanCoding, m314, t50, w8, 18602, 105, 19361, 38254, 61.6592, 0.9013, 1874, 318, a5, 001010
insertSort, m108, t50, w8, 2378, 22, 6392, 8866, 59.1852, 0.9444, 1900, 40, a3, 101011
mergeSort, m226, t50, w2, 10212, 160, 68276, 78742, 302.1062, 0.9336, 1900, 129, a4, 100011
primes, m68, t100, w8, 3385, 270, 867, 4620, 12.75, 0.8793, 398, 30, a2, 001101
longestIncrease, m114, t50, w2, 4873, 9884, 136447, 151308, 1196.9035, 0.9035, 1946, 70, a2, 110011
massive, m49, t60, w2, 972, 109647, 354121, 464793, 7226.9592, 0.9388, 169, 13, a2, 011010
selectSort, m92, t50, w2, 3041, 163, 40258, 43534, 437.587, 0.8804, 1900, 45, a3, 110010
insertSort, m108, t50, w2, 7047, 158, 36782, 44323, 340.5741, 0.9444, 1900, 40, a4, 001101
insertSort, m108, t50, w8, 2359, 142, 9376, 11948, 86.8148, 0.9444, 1900, 40, a5, 001011
massive, m49, t60, w4, 668, 114296, 132773, 248054, 2709.6531, 0.9231, 169, 13, a5, 001110
huffmanCoding, m314, t50, w2, 52415, 165, 100644, 153615, 320.5223, 0.9013, 1874, 318, a5, 110000
factorial, m31, t100, w2, 1608, 320, 19521, 21730, 629.7097, 0.9677, 403, 18, a3, 010100
dictionaryOrder, m71, t100, w4, 1164, 302, 11644, 13570, 164, 0.9265, 8248, 32, a2, 011111
dictionaryOrder, m71, t100, w8, 1173, 41, 10003, 11280, 140.8873, 0.8873, 8248, 32, a4, 111011
primes, m68, t100, w2, 3572, 315, 7208, 11342, 106, 0.8793, 398, 30, a3, 111101
minProd, m181, t50, w2, 13249, 169, 15906, 29904, 87.8785, 0.8659, 1946, 72, a3, 111101
massive, m49, t60, w8, 623, 114165, 114293, 229132, 2332.5102, 0.9388, 169, 13, a2, 011011
minProd, m181, t50, w8, 4485, 22, 5032, 9745, 27.8011, 0.8606, 1946, 72, a3, 111111
longestIncrease, m114, t50, w4, 3177, 3440, 48858, 55568, 428.5789, 0.9035, 1946, 70, a2, 110010
huffmanCodingEff, m199, t50, w8, 10863, 26, 10290, 21613, 51.7085, 0.8014, 1874, 239, a5, 101111
huffmanCodingEff, m199, t50, w4, 29606, 159, 37363, 67299, 187.7538, 0.8191, 1874, 239, a4, 000001
huffmanCodingEff, m199, t50, w2, 28804, 161, 40541, 70187, 203.7236, 0.849, 1874, 239, a3, 011101
quickSort, m127, t50, w8, 4809, 147, 16103, 21174, 126.7953, 0.9528, 1900, 56, a4, 011010
mergeSort, m226, t50, w8, 20985, 154, 10563, 31901, 46.7389, 0.9336, 1900, 129, a2, 000101
transpose, m149, t50, w4, 3758, 52, 20899, 24793, 140.2617, 0.8993, 903, 40, a2, 100011
add, m12, t100, w8, 565, 238, 215, 1093, 17.9167, 0.9167, 583, 13, a3, 010101
bubbleSort, m113, t50, w2, 3667, 167, 213970, 217874, 1893.5398, 0.8938, 1900, 41, a3, 100011
add, m12, t100, w2, 611, 317, 357, 1382, 29.75, 0.9, 583, 13, a5, 100101
anagram, m60, t100, w4, 1060, 102, 5002, 6562, 83.3667, 0.9286, 1370, 37, a3, 111110
insertSort, m108, t50, w8, 2346, 145, 6310, 8873, 58.4259, 0.9444, 1900, 40, a3, 011011
bubbleSort, m113, t50, w2, 7391, 160, 219699, 227318, 1944.2389, 0.8938, 1900, 41, a5, 111000
quickSort, m127, t50, w2, 13209, 162, 86880, 100364, 684.0945, 0.9528, 1900, 56, a4, 100000
add, m12, t100, w2, 281, 325, 350, 1107, 29.1667, 0.9167, 583, 13, a3, 010111
dictionaryOrder, m71, t100, w4, 3546, 301, 13899, 17811, 195.7606, 0.8873, 8248, 32, a5, 000001
anagram, m60, t100, w4, 990, 291, 5003, 6341, 83.3833, 0.8667, 1370, 37, a3, 011010
selectSort, m92, t50, w2, 6184, 157, 40222, 46636, 437.1957, 0.8804, 1900, 45, a5, 010000
primes, m68, t100, w8, 3423, 242, 1098, 4834, 16.1471, 0.75, 398, 30, a2, 011000
insertSort, m108, t50, w8, 7161, 146, 6298, 13680, 58.3148, 0.9444, 1900, 40, a2, 010001
huffmanCodingEff, m199, t50, w8, 32242, 21, 10314, 43528, 51.8291, 0.8092, 1874, 239, a5, 111100
factorial, m31, t100, w8, 1492, 37, 5287, 6876, 170.5484, 0.9677, 403, 18, a5, 110001
bubbleSort, m113, t50, w8, 7343, 146, 141660, 149713, 1253.6283, 0.8938, 1900, 41, a4, 011100
mergeSort, m226, t50, w2, 20190, 163, 68295, 89322, 302.1903, 0.9336, 1900, 129, a3, 100101
squareMatrix, m182, t50, w4, 4766, 155, 23183, 28182, 127.3791, 1.0, 903, 72, a3, 000010
squareMatrix, m182, t50, w2, 14558, 163, 68860, 83662, 378.3516, 1.0, 903, 72, a3, 000000
dictionaryOrder, m71, t100, w4, 1220, 309, 11770, 13360, 165.7746, 0.8873, 8248, 32, a2, 001010
bubbleSort, m113, t50, w4, 2533, 154, 77313, 80794, 684.1858, 0.9182, 1900, 41, a3, 010110
huffmanCoding, m314, t50, w4, 17934, 154, 41708, 59976, 132.828, 0.9013, 1874, 318, a5, 010010
maxArrSumNeg, m112, t50, w2, 3878, 160, 64696, 69093, 577.6429, 0.9107, 1910, 63, a4, 011111
