anagram, m60, t100, w2, 8547, 264, 6071, 0.906250, 1370, 37, a5, 011110
add, m12, t100, w2, 885, 157, 154, 0.916667, 583, 13, a4, 000000
genPassword, m49, t100, w2, 7922, 365, 5099, 0.810811, 398, 63, a5, 010110
primes, m68, t100, w2, 9416, 325, 4451, 0.864865, 398, 30, a5, 010110
factorial, m31, t100, w2, 11597, 292, 10217, 1.000000, 403, 18, a5, 100110
gcd, m65, t150, w2, 14607, 434, 11271, 0.829787, 1495, 19, a5, 001110
add, m20, t999, w2, 850561204, 14227, 4048, 0.950000, 583, 13, a2, 101000
massive, m49, t60, w2, 40878, 9853, 29433, 0.933333, 169, 13, a5, 010111
primes, m48, t99, w2, 1077, 492, 337, 1.000000, 398, 30, a4, 000000
primes, m63, t10, w4, 68224, 4775, 52942, 0.634921, 398, 30, a5, 000000
primes, m2, t10, w2, 2760, 2484, 23, 1.000000, 398, 30, a4, 000000
add, m48, t99, w2, 1239, 262, 283, 0.979167, 583, 13, a4, 000000
primes, m63, t10, w2, 91130, 2502, 82180, 0.634921, 398, 30, a4, 000000
add, m12, t99, w2, 1183, 285, 209, 0.916667, 583, 13, a4, 000000
