anagram, m60, t100, w2, 8547, 264, 6071, 0.906250, 1370, 37, a5, 011110
add, m12, t100, w2, 885, 157, 154, 0.916667, 583, 13, a4, 000000
genPassword, m49, t100, w2, 7922, 365, 5099, 0.810811, 398, 63, a5, 010110
primes, m68, t100, w2, 9416, 325, 4451, 0.864865, 398, 30, a5, 010110
factorial, m31, t100, w2, 11597, 292, 10217, 1.000000, 403, 18, a5, 100110
gcd, m65, t150, w2, 14607, 434, 11271, 0.829787, 1495, 19, a5, 001110
add, m20, t999, w2, 850561204, 14227, 4048, 0.950000, 583, 13, a2, 101000
massive, m49, t60, w2, 40878, 9853, 29433, 0.933333, 169, 13, a5, 010111
primes, m48, t99, w2, 1077, 492, 337, 1.000000, 398, 30, a4, 000000
primes, m63, t10, w4, 68224, 4775, 52942, 0.634921, 398, 30, a5, 000000
primes, m2, t10, w2, 2760, 2484, 23, 1.000000, 398, 30, a4, 000000
add, m48, t99, w2, 1239, 262, 283, 0.979167, 583, 13, a4, 000000
primes, m63, t10, w2, 91130, 2502, 82180, 0.634921, 398, 30, a4, 000000
add, m12, t99, w2, 1183, 285, 209, 0.916667, 583, 13, a4, 000000
add, m12, t100, w8, 316, 40, 69, 0.916667, 583, 13, a4, 100010
add, m12, t100, w2, 1037, 304, 411, 0.916667, 583, 13, a4, 101011
add, m12, t100, w4, 431, 97, 109, 0.916667, 583, 13, a4, 101011
anagram, m60, t100, w8, 6096, 38, 5002, 0.866667, 1370, 37, a3, 100010
anagram, m60, t100, w4, 6164, 97, 5002, 0.866667, 1370, 37, a2, 111010
anagram, m60, t100, w2, 8792, 318, 6563, 0.885714, 1370, 37, a5, 010111
factorial, m31, t100, w2, 21506, 322, 19501, 0.967742, 403, 18, a2, 000000
dictionaryOrder, m71, t100, w4, 10780, 97, 9129, 0.843750, 8248, 32, a5, 110111
dictionaryOrder, m71, t100, w8, 6244, 40, 5003, 0.887324, 8248, 32, a2, 110011
dictionaryOrder, m71, t100, w2, 23276, 314, 20751, 0.843750, 8248, 32, a5, 011111
factorial, m31, t100, w4, 7705, 99, 7041, 0.967742, 403, 18, a3, 111010
factorial, m31, t100, w2, 8726, 319, 7410, 0.956522, 403, 18, a5, 010111
factorial, m31, t100, w8, 5672, 38, 5079, 0.967742, 403, 18, a2, 101010
genPassword, m49, t100, w2, 6537, 315, 4498, 0.789474, 398, 63, a5, 000111
genPassword, m49, t100, w8, 1882, 37, 742, 0.810811, 398, 63, a5, 110111
genPassword, m49, t100, w4, 2866, 98, 1639, 0.789474, 398, 63, a5, 110111
massive, m49, t60, w2, 108475, 108138, 150, 1.000000, 169, 13, a4, 000000
massive, m49, t60, w4, 97425, 38521, 56971, 1.000000, 169, 13, a5, 110000
massive, m49, t60, w8, 67897, 19252, 46862, 1.000000, 169, 13, a5, 110001
primes, m68, t100, w4, 2546, 99, 1164, 0.833333, 398, 30, a5, 111111
primes, m68, t100, w8, 1668, 39, 418, 0.833333, 398, 30, a5, 101111
primes, m68, t100, w2, 5554, 325, 3168, 0.833333, 398, 30, a5, 011111
